,user_level,gender,education,city_level,purchase_power,marital_status,age,None,x,y,cluster
0,-1,F,-1.0,1.0,-1.0,U,16-25,,-91.033516,-9.853291,0
1,-1,F,-1.0,1.0,-1.0,U,26-35,,45.60901,42.26039,1
2,-1,F,-1.0,2.0,-1.0,U,26-35,,21.490326,0.20728505,2
3,-1,F,-1.0,2.0,-1.0,U,46-55,,-13.929098999999999,-19.909979999999997,3
4,-1,F,3.0,1.0,2.0,M,26-35,,62.846436,-31.30925,4
5,-1,F,3.0,1.0,3.0,M,36-45,,17.905602,-70.63640600000001,4
6,-1,F,3.0,1.0,3.0,S,26-35,,36.19124,-72.42004399999999,4
7,-1,F,3.0,1.0,3.0,S,36-45,,39.195282,-26.358192,5
8,-1,F,3.0,1.0,5.0,M,26-35,,-31.938093,27.401049,6
9,-1,F,3.0,2.0,1.0,S,26-35,,29.58946,-38.718685,5
10,-1,F,3.0,3.0,3.0,S,36-45,,67.291664,-2.6369022999999996,7
11,-1,M,-1.0,-1.0,-1.0,U,26-35,,-19.926712,42.655052000000005,6
12,-1,M,-1.0,1.0,-1.0,U,46-55,,-2.690852,-5.0337834,2
13,-1,U,-1.0,-1.0,-1.0,U,U,,-3.162121,-35.12212,8
14,-1,U,-1.0,1.0,-1.0,U,16-25,,-32.970932,30.705710999999997,6
15,0,F,-1.0,-1.0,-1.0,U,46-55,,39.17982,-71.06168000000001,4
16,0,F,-1.0,1.0,-1.0,U,16-25,,46.058094,-66.26524,4
17,0,F,-1.0,1.0,-1.0,U,36-45,,26.90735,-24.841017,5
18,0,F,-1.0,1.0,-1.0,U,46-55,,28.874104,14.820932,2
19,0,F,-1.0,2.0,-1.0,U,16-25,,6.0053535,44.694588,6
20,0,F,-1.0,2.0,-1.0,U,36-45,,71.02914,-3.6561089,7
21,0,F,-1.0,2.0,-1.0,U,46-55,,-25.91167,-25.649136,3
22,0,F,-1.0,3.0,-1.0,U,16-25,,44.05703,-67.96842,4
23,0,F,-1.0,3.0,-1.0,U,36-45,,35.949844,-72.61511,4
24,0,F,-1.0,3.0,-1.0,U,46-55,,-3.7321388999999994,18.238916,6
25,0,F,-1.0,3.0,4.0,S,26-35,,-5.936498599999999,81.96014,1
26,0,F,-1.0,4.0,-1.0,U,16-25,,32.934554999999996,28.264118,2
27,0,F,-1.0,4.0,-1.0,U,26-35,,-15.184904999999999,-13.199798999999999,3
28,0,F,-1.0,4.0,-1.0,U,36-45,,58.391148,0.92914236,7
29,0,F,-1.0,4.0,-1.0,U,46-55,,0.27806523,54.67749,6
30,0,F,2.0,1.0,-1.0,U,46-55,,32.343117,26.336146999999997,2
31,0,F,2.0,1.0,2.0,S,>=56,,11.665242,87.07681,1
32,0,F,2.0,2.0,3.0,S,16-25,,7.8538604,-52.917213000000004,5
33,0,F,2.0,3.0,3.0,M,16-25,,-31.52088,35.041733,6
34,0,F,2.0,4.0,3.0,S,26-35,,-13.888387,-74.1853,9
35,0,F,3.0,3.0,2.0,S,26-35,,-15.461073999999998,-12.43512,3
36,0,F,3.0,4.0,2.0,S,26-35,,-3.239897,4.854248999999999,2
37,0,F,3.0,4.0,3.0,M,>=56,,12.651653,-44.01328,5
38,0,F,3.0,4.0,3.0,S,36-45,,46.752303999999995,45.644703,1
39,0,F,4.0,2.0,2.0,M,26-35,,-12.802582000000001,10.314178,10
40,0,M,-1.0,2.0,-1.0,U,16-25,,21.682755,0.38003656,2
41,0,M,-1.0,4.0,3.0,S,26-35,,-87.78579,-13.637667,0
42,0,M,2.0,1.0,3.0,S,26-35,,-15.065019,-81.32278000000001,9
43,0,M,3.0,4.0,2.0,S,36-45,,-6.3083487,80.341965,1
44,0,U,-1.0,-1.0,-1.0,U,U,,-52.102306,16.431151999999997,11
45,0,U,-1.0,5.0,-1.0,U,U,,22.966131,50.598296999999995,2
46,0,U,3.0,3.0,4.0,S,36-45,,37.363293,-35.07705,5
47,10,F,-1.0,1.0,-1.0,U,26-35,,47.487246999999996,47.26724,1
