,user_level,gender,education,city_level,purchase_power,marital_status,age,None,x,y,cluster
0,-1,F,-1,1,-1,U,16-25,,62.73095,8.419328,0
1,-1,F,-1,1,-1,U,26-35,,-18.987093,56.490025,0
2,-1,F,-1,2,-1,U,26-35,,12.182677,-5.651371,1
3,-1,F,-1,2,-1,U,46-55,,24.619984,32.41168,0
4,-1,F,3,1,2,M,26-35,,-10.948037,56.811836,0
5,-1,F,3,1,3,M,36-45,,-26.898037,-31.295067,2
6,-1,F,3,1,3,S,26-35,,52.752792,16.687109,0
7,-1,F,3,1,3,S,36-45,,10.824933,46.405132,0
8,-1,F,3,1,5,M,26-35,,15.866594,2.3112953,1
9,-1,F,3,2,1,S,26-35,,-36.930054,11.646234,3
10,-1,F,3,3,3,S,36-45,,-47.360985,-20.083668,2
11,-1,M,-1,-1,-1,U,26-35,,-40.235077,27.613031,3
12,-1,M,-1,1,-1,U,46-55,,35.302612,30.178032,0
13,-1,U,-1,-1,-1,U,U,,-2.1478572,90.73829,4
14,-1,U,-1,1,-1,U,16-25,,6.212176,56.068386,0
15,0,F,-1,-1,-1,U,46-55,,15.774904,3.4028656,1
16,0,F,-1,1,-1,U,16-25,,65.47482,7.427296,0
17,0,F,-1,1,-1,U,36-45,,10.843845,15.59448,1
18,0,F,-1,1,-1,U,46-55,,15.650899,44.91235,0
19,0,F,-1,2,-1,U,16-25,,-32.72877,43.99621,3
20,0,F,-1,2,-1,U,36-45,,-5.2241335,-59.629505,5
21,0,F,-1,2,-1,U,46-55,,-8.633276,-27.752506,2
22,0,F,-1,3,-1,U,16-25,,-24.449408,-29.687082,2
23,0,F,-1,3,-1,U,36-45,,-55.566196,-48.169033,2
24,0,F,-1,3,-1,U,46-55,,-18.853714,6.2506046,1
25,0,F,-1,3,4,S,26-35,,-7.2432895,-60.426502,5
26,0,F,-1,4,-1,U,16-25,,-35.778522,20.249414,3
27,0,F,-1,4,-1,U,26-35,,0.7568525,-23.429726,2
28,0,F,-1,4,-1,U,36-45,,-25.447891,16.50726,1
29,0,F,-1,4,-1,U,46-55,,77.058945,6.5084043,0
30,0,F,2,1,-1,U,46-55,,46.01077,15.039067,0
31,0,F,2,1,2,S,>=56,,44.198093,24.305634,0
32,0,F,2,2,3,S,16-25,,-40.953167,30.097136,3
33,0,F,2,3,3,M,16-25,,54.300327,14.329761,0
34,0,F,2,4,3,S,26-35,,8.81463,-13.441048,1
35,0,F,3,3,2,S,26-35,,42.953022,24.79379,0
36,0,F,3,4,2,S,26-35,,-25.648918,53.41365,0
